:ID,requirementText,sfr,:LABEL
FPT_PHP.1,,FPT_PHP.1,SFR
FPT_PHP.2,,FPT_PHP.2,SFR
FPT_PHP.3,,FPT_PHP.3,SFR
FPT_RCV.1,,FPT_RCV.1,SFR
FPT_RCV.2,,FPT_RCV.2,SFR
FPT_RCV.3,,FPT_RCV.3,SFR
FPT_RCV.4,,FPT_RCV.4,SFR
FPT_RPL.1,,FPT_RPL.1,SFR
FPT_SSP.1,,FPT_SSP.1,SFR
FPT_SSP.2,,FPT_SSP.2,SFR
FPT_STM.1,The TSF shall be able to provide reliable time stamps.,FPT_STM.1,SFR
FPT_TDC.1,,FPT_TDC.1,SFR
FPT_TEE.1,,FPT_TEE.1,SFR
FPT_TRC.1,,FPT_TRC.1,SFR
FPT_TST.1,,FPT_TST.1,SFR
FRU_FLT.1,,FRU_FLT.1,SFR
FRU_FLT.2,,FRU_FLT.2,SFR
FRU_PRS.1,,FRU_PRS.1,SFR
FRU_PRS.2,,FRU_PRS.2,SFR
FRU_RSA.1,,FRU_RSA.1,SFR
FRU_RSA.2,,FRU_RSA.2,SFR
FTA_LSA.1,"The TSF shall restrict the scope of the session security attributes [assignment: session security attributes], based on [assignment: attributes].",FTA_LSA.1,SFR
FTA_MCS.1,"FTA_MCS.1.1 The TSF shall restrict the maximum number of concurrent sessions that belong to the same user. FTA_MCS.1.2 The TSF shall enforce, by default, a limit of [assignment: default number] sessions per user.",FTA_MCS.1,SFR
FTA_MCS.2,"FTA_MCS.2.1 The TSF shall restrict the maximum number of concurrent sessions that belong to the same user according to the rules [assignment: rules for the number of maximum concurrent sessions]. FTA_MCS.2.2 The TSF shall enforce, by default, a limit of [assignment: default number] sessions per user.",FTA_MCS.2,SFR
FTA_SSL.1,"FTA_SSL.1.1 The TSF shall lock an interactive session after [assignment: time interval of user inactivity] by:  a) clearing or overwriting display devices, making the current contents unreadable; b) disabling any activity of the user's data access/display devices other than unlocking the session. FTA_SSL.1.2 The TSF shall require the following events to occur prior to unlocking the session: [assignment: events to occur].",FTA_SSL.1,SFR
FTA_SSL.2,,FTA_SSL.2,SFR
FTA_SSL.3,The TSF shall terminate an interactive session after a [assignment: time interval of user inactivity].,FTA_SSL.3,SFR
FTA_SSL.4,,FTA_SSL.4,SFR
FTA_TAB.1,,FTA_TAB.1,SFR
FTA_TAH.1,,FTA_TAH.1,SFR
FTA_TSE.1,The TSF shall be able to deny session establishment based on [assignment: attributes].,FTA_TSE.1,SFR
FTP_ITC.1,"FTP_ITC.1.1 The TSF shall provide a communication channel between itself and another trusted IT product that is logically distinct from other communication channels and provides assured identification of its end points and protection of the channel data from modification or disclosure. FTP_ITC.1.2 The TSF shall permit [selection: the TSF, another trusted IT product] to initiate communication via the trusted channel. FTP_ITC.1.3 The TSF shall initiate communication via the trusted channel for [assignment: list of functions for which a trusted channel is required].",FTP_ITC.1,SFR
FTP_TRP.1,"FTP_TRP.1.1 The TSF shall provide a communication path between itself and [selection: remote, local] users that is logically distinct from other communication paths and provides assured identification of its end points and protection of the communicated data from [selection: modification, disclosure, [assignment: other types of integrity or confidentiality violation]]. FTP_TRP.1.2 The TSF shall permit [selection: the TSF, local users, remote users] to initiate communication via the trusted path. FTP_TRP.1.3 The TSF shall require the use of the trusted path for [selection: initial user authentication, [assignment: other services for which trusted path is required]].",FTP_TRP.1,SFR
